Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure_Type_Encoded
0,298.2,308.4,0.3158726114989957,49.9,72,0,1
0,298.2,308.4,0.3158726115082348,34.6,74,0,1
2,298.2,308.4,0.3158726114934561,51.8,76,0,1
2,298.2,308.4,0.3158726115086823,34.6,81,0,1
1,298.2,308.5,0.3158726115237227,10.7,86,1,3
0,298.3,308.5,0.3158726114974443,42.9,89,0,1
2,298.3,308.6,0.3158726114959965,49.5,91,0,1
1,298.4,308.6,0.3158726115019112,40.9,96,0,1
0,298.4,308.7,0.3158726115049707,35.0,99,0,1
0,298.4,308.6,0.3158726114960675,47.1,101,0,1
0,298.4,308.6,0.3158726115059148,35.0,103,0,1
0,298.3,308.5,0.3158726115043597,41.2,105,0,1
1,298.4,308.5,0.3158726115070557,35.7,107,0,1
0,298.4,308.5,0.3158726114997932,37.9,110,0,1
0,298.4,308.5,0.3158726115108262,32.8,112,0,1
1,298.5,308.6,0.3158726114888504,53.0,114,0,1
0,298.5,308.7,0.3158726115059148,35.3,117,0,1
1,298.4,308.7,0.3158726114952023,60.7,119,1,3
0,298.4,308.6,0.3158726115051087,36.7,122,0,1
0,298.4,308.6,0.3158726114989957,44.0,124,0,1
0,298.4,308.7,0.3158726115016925,36.1,126,0,1
0,298.5,308.7,0.3158726115043597,33.9,128,0,1
2,298.4,308.7,0.3158726114888504,52.9,130,0,1
0,298.4,308.7,0.3158726114924967,44.9,135,0,1
1,298.3,308.6,0.3158726115050169,37.1,137,0,1
0,298.3,308.6,0.3158726115030214,40.3,140,0,1
0,298.3,308.6,0.3158726115003285,38.3,142,0,1
0,298.3,308.5,0.315872611508159,31.6,144,0,1
0,298.3,308.6,0.3158726114970395,38.1,146,0,1
1,298.3,308.5,0.3158726114961382,46.2,148,0,1
0,298.3,308.5,0.3158726114948327,52.7,151,0,1
2,298.4,308.5,0.3158726115132788,24.3,153,0,1
0,298.4,308.6,0.3158726114849077,45.0,158,0,1
0,298.4,308.6,0.3158726115040706,34.4,160,0,1
0,298.3,308.6,0.3158726115047849,29.3,162,0,1
0,298.3,308.5,0.3158726114904704,53.8,164,0,1
0,298.3,308.4,0.3158726114874296,49.2,166,0,1
0,298.3,308.5,0.3158726115025533,36.1,168,0,1
1,298.3,308.5,0.3158726115067675,37.1,170,0,1
0,298.3,308.5,0.3158726115025006,32.2,173,0,1
0,298.3,308.6,0.3158726115041191,34.8,175,0,1
0,298.3,308.4,0.3158726114942299,43.1,177,0,1
0,298.2,308.4,0.3158726114954214,47.6,179,0,1
0,298.2,308.4,0.3158726115010785,34.9,181,0,1
0,298.2,308.4,0.3158726114990581,42.9,183,0,1
1,298.1,308.3,0.3158726115087555,33.7,185,0,1
0,298.1,308.3,0.3158726115000922,38.7,188,0,1
1,298.0,308.1,0.3158726115032258,36.6,190,0,1
0,297.9,308.1,0.3158726114930605,50.3,193,0,1
0,298.0,308.2,0.3158726115060021,30.6,195,0,1
1,298.0,308.1,0.3158726114883841,51.6,197,0,1
0,298.0,308.1,0.3158726115119131,24.3,200,0,1
0,298.0,308.2,0.3158726114892182,58.8,202,1,2
0,298.0,308.2,0.3158726114966969,44.1,204,0,1
1,298.0,308.2,0.3158726114932195,49.1,206,0,1
1,297.9,308.1,0.3158726115066842,31.4,209,0,1
0,297.9,308.1,0.3158726115048315,33.5,212,0,1
0,298.0,308.2,0.3158726114984903,45.5,214,0,1
0,298.0,308.3,0.3158726114904704,56.8,216,1,2
0,298.0,308.3,0.3158726114940002,56.2,218,1,2
0,298.0,308.3,0.3158726115080827,32.7,0,0,1
1,298.0,308.2,0.3158726114982978,42.6,2,0,1
0,298.0,308.2,0.3158726115063892,35.8,5,0,1
0,298.0,308.2,0.3158726114900294,48.2,7,0,1
0,298.0,308.2,0.3158726115011915,37.9,9,0,1
0,298.0,308.2,0.3158726114997328,40.4,11,0,1
0,298.1,308.3,0.3158726114876229,63.0,13,0,1
0,298.0,308.0,0.3158726115061752,29.5,15,0,1
0,298.1,308.2,0.3158726114993059,37.9,17,0,1
1,298.1,308.2,0.3158726114951287,63.9,19,1,3
1,298.2,308.3,0.3158726115016375,49.1,22,0,1
0,298.1,308.2,0.3158726115077739,32.1,25,0,1
1,298.1,308.2,0.3158726115106677,26.8,27,0,1
1,298.0,308.1,0.3158726115049244,32.3,30,0,1
0,298.1,308.2,0.3158726114928203,47.5,33,0,1
0,298.0,308.1,0.3158726114975111,37.1,35,0,1
2,298.0,308.1,0.3158726114965584,43.7,37,0,1
0,297.9,308.0,0.3158726115161294,21.1,42,0,1
2,297.9,308.0,0.3158726115125609,24.8,44,0,1
0,298.0,308.0,0.3158726115017474,37.0,49,0,1
2,298.0,308.0,0.3158726115015269,39.6,51,0,1
1,298.1,308.1,0.3158726114973773,40.8,56,0,1
0,298.1,308.1,0.3158726114994287,40.4,59,0,1
0,298.1,308.0,0.3158726114955664,46.0,61,0,1
0,298.1,308.0,0.3158726115076957,28.5,63,0,1
0,298.0,308.0,0.3158726114936906,54.7,65,0,1
1,298.0,307.9,0.3158726115111067,26.6,67,0,1
2,298.0,308.0,0.3158726114991203,50.7,70,0,1
1,298.0,308.0,0.3158726115063892,29.4,75,0,1
0,298.0,308.1,0.3158726115130707,23.4,78,0,1
1,298.1,308.1,0.315872611497644,43.7,80,0,1
0,298.1,308.0,0.3158726115066423,36.5,83,0,1
1,298.1,308.1,0.3158726114928203,49.8,85,0,1
0,298.2,308.2,0.3158726114984903,43.0,88,0,1
0,298.2,308.3,0.3158726115178393,19.2,90,0,1
0,298.2,308.3,0.3158726115040219,36.0,92,0,1
0,298.2,308.3,0.3158726115050169,33.2,94,0,1
0,298.2,308.3,0.3158726115126972,31.6,96,0,1
2,298.2,308.4,0.3158726114924152,42.2,98,0,1
0,298.1,308.4,0.3158726114962791,46.7,103,0,1
0,298.1,308.4,0.3158726114964192,45.6,105,0,1
0,298.0,308.3,0.3158726114987444,42.6,107,0,1
0,298.1,308.4,0.3158726114880059,40.2,109,0,1
2,298.1,308.5,0.3158726114929807,44.8,111,0,1
1,298.1,308.5,0.3158726114913327,51.1,116,0,1
1,298.1,308.6,0.3158726115100145,30.7,119,0,1
0,298.0,308.5,0.3158726114932195,46.2,122,0,1
0,298.0,308.5,0.3158726115099138,25.3,124,0,1
2,297.9,308.5,0.315872611518989,18.7,126,0,1
1,297.8,308.3,0.3158726115039731,35.6,131,0,1
0,297.8,308.4,0.315872611506474,38.3,134,0,1
0,297.7,308.4,0.3158726115107946,27.1,136,0,1
2,297.8,308.4,0.3158726115010785,35.1,138,0,1
1,297.8,308.4,0.3158726114991203,43.5,143,0,1
0,297.8,308.4,0.3158726115106996,27.5,146,0,1
0,297.8,308.4,0.315872611518989,19.2,148,0,1
0,297.8,308.4,0.315872611491502,47.1,150,0,1
1,297.8,308.4,0.31587261150455,36.6,152,0,1
0,297.9,308.5,0.3158726114850125,47.2,155,0,1
1,297.9,308.5,0.3158726114971752,40.8,157,0,1
2,298.0,308.6,0.3158726115018568,41.8,160,0,1
1,298.0,308.6,0.3158726114974443,44.1,165,0,1
0,297.9,308.6,0.3158726114984262,36.0,168,0,1
0,298.0,308.6,0.3158726114858387,50.8,170,0,1
1,297.9,308.5,0.3158726114844853,53.0,172,0,1
0,297.9,308.4,0.3158726115074587,40.6,175,0,1
0,297.8,308.4,0.3158726115099474,33.2,177,0,1
0,297.8,308.4,0.3158726115089371,28.4,179,0,1
0,297.8,308.4,0.3158726115010785,39.9,181,0,1
0,297.8,308.4,0.3158726115060455,32.1,183,0,1
2,297.8,308.4,0.3158726115031239,38.2,185,0,1
0,297.8,308.4,0.3158726115014157,32.5,190,0,1
0,297.8,308.5,0.3158726114971075,40.0,192,0,1
0,297.8,308.5,0.3158726115036778,46.3,194,0,1
1,297.8,308.5,0.3158726114996724,41.9,196,0,1
0,297.8,308.5,0.3158726115094338,27.8,199,0,1
0,297.7,308.5,0.3158726115004456,41.4,201,0,1
0,297.7,308.5,0.3158726114914174,56.7,203,1,2
2,297.6,308.4,0.3158726115095726,31.4,205,0,1
2,297.7,308.5,0.3158726115101477,29.9,210,0,1
1,297.6,308.4,0.3158726114934561,41.9,215,0,1
1,297.6,308.4,0.3158726114929007,51.9,218,0,1
1,297.6,308.3,0.3158726115025006,40.2,0,0,1
0,297.5,308.2,0.3158726115074985,31.3,3,0,1
1,297.5,308.1,0.3158726114984903,44.8,5,0,1
0,297.4,308.1,0.3158726115110758,25.9,8,0,1
1,297.6,308.2,0.3158726115168944,20.5,10,0,1
0,297.6,308.3,0.3158726115108576,27.7,13,0,1
0,297.5,308.2,0.3158726115037767,38.2,15,0,1
1,297.5,308.2,0.3158726115099138,32.2,17,0,1
0,297.4,308.1,0.3158726114988075,39.4,20,0,1
1,297.4,308.2,0.3158726115020738,32.6,22,0,1
0,297.4,308.2,0.3158726114986177,46.5,25,0,1
0,297.5,308.3,0.315872611492659,48.6,27,0,1
1,297.5,308.2,0.3158726115222642,13.8,29,0,1
0,297.5,308.3,0.3158726115048315,32.9,32,0,1
1,297.5,308.3,0.3158726114978421,45.2,34,0,1
0,297.5,308.3,0.3158726115028147,40.8,37,0,1
0,297.6,308.3,0.3158726115062611,31.7,39,0,1
0,297.6,308.3,0.3158726115052911,34.3,41,0,1
2,297.6,308.3,0.3158726114936128,44.3,43,0,1
1,297.6,308.4,0.3158726115060021,31.0,48,0,1
1,297.6,308.4,0.3158726115007932,46.0,51,0,1
2,297.5,308.3,0.3158726115085346,30.0,54,0,1
0,297.6,308.3,0.3158726115079291,34.3,59,0,1
0,297.6,308.3,0.3158726115065163,36.9,61,0,1
1,297.6,308.4,0.3158726114934561,48.9,63,0,1
0,297.6,308.4,0.3158726115013599,34.2,66,0,1
1,297.6,308.3,0.3158726114983621,36.7,68,0,1
1,297.6,308.3,0.3158726115039731,34.6,71,0,1
1,297.5,308.3,0.3158726115015823,38.2,74,0,1
0,297.5,308.3,0.3158726115053364,36.8,77,0,1
2,297.6,308.3,0.3158726115072182,30.9,79,0,1
0,297.6,308.3,0.3158726114964192,47.8,84,0,1
0,297.6,308.4,0.3158726114941536,55.2,86,0,1
0,297.6,308.4,0.3158726114896716,57.5,88,0,1
1,297.6,308.5,0.3158726115032258,40.9,90,0,1
1,297.6,308.4,0.3158726115040706,38.3,93,0,1
0,297.5,308.4,0.3158726114997328,39.5,96,0,1
2,297.5,308.4,0.3158726115049244,36.1,98,0,1
1,297.5,308.3,0.315872611506474,37.2,103,0,1
0,297.5,308.4,0.3158726115056947,38.1,106,0,1
1,297.4,308.3,0.3158726114940002,51.7,108,0,1
0,297.4,308.3,0.3158726114945331,42.0,111,0,1
0,297.4,308.3,0.3158726114959254,43.0,113,0,1
0,297.4,308.2,0.3158726115022349,37.4,115,0,1
1,297.4,308.2,0.3158726114936906,51.9,117,0,1
1,297.4,308.2,0.3158726114954214,53.9,120,0,1
0,297.3,308.2,0.3158726115112295,29.4,123,0,1
0,297.3,308.2,0.3158726115112295,26.8,125,0,1
0,297.5,308.3,0.3158726115230678,12.8,127,1,3
0,297.5,308.5,0.3158726115029184,40.4,129,0,1
0,297.5,308.5,0.3158726114880059,48.0,131,0,1
1,297.5,308.6,0.3158726115136588,27.0,133,0,1
0,297.5,308.5,0.31587261150988,26.8,136,0,1
1,297.6,308.6,0.3158726114946833,45.4,138,0,1
0,297.6,308.7,0.3158726114864447,50.9,141,0,1
0,297.7,308.7,0.3158726114785908,60.4,143,0,1
0,297.6,308.7,0.3158726114975776,48.2,145,0,1
1,297.6,308.7,0.3158726114942299,54.8,147,0,1
0,297.6,308.7,0.3158726114979078,46.7,150,0,1
0,297.6,308.6,0.3158726114998533,38.1,152,0,1
1,297.6,308.5,0.3158726114997932,43.4,154,0,1
1,297.5,308.4,0.3158726114894004,52.2,157,0,1
0,297.5,308.4,0.3158726115019656,39.9,160,0,1
0,297.4,308.3,0.3158726115041674,37.7,162,0,1
0,297.4,308.3,0.3158726114997932,42.6,164,0,1
1,297.4,308.3,0.315872611511826,28.9,166,0,1
2,297.4,308.3,0.315872611500504,43.6,169,0,1
0,297.4,308.4,0.3158726114929807,49.7,174,0,1
0,297.4,308.5,0.3158726115185822,16.9,176,0,1
0,297.5,308.5,0.3158726115102138,30.4,178,0,1
0,297.4,308.6,0.3158726115086823,32.3,180,0,1
0,297.3,308.6,0.3158726114814872,59.8,182,0,1
0,297.3,308.6,0.315872611484165,45.9,184,0,1
0,297.3,308.5,0.3158726114894004,57.6,186,0,1
0,297.4,308.6,0.3158726114964889,51.9,188,0,1
1,297.4,308.5,0.3158726115055165,42.1,190,0,1
1,297.4,308.6,0.3158726114961382,44.4,193,0,1
0,297.4,308.6,0.3158726114978421,41.3,196,0,1
1,297.5,308.6,0.3158726114986812,44.9,198,0,1
0,297.5,308.7,0.3158726114957824,44.3,201,0,1
0,297.5,308.6,0.315872611492659,48.2,203,0,1
0,297.4,308.4,0.3158726115042639,34.5,205,0,1
0,297.4,308.4,0.3158726115049707,32.5,207,0,1
0,297.5,308.4,0.3158726115010218,42.8,209,0,1
0,297.4,308.5,0.3158726115000922,37.8,211,0,1
0,297.4,308.4,0.3158726114931401,50.1,213,0,1
0,297.4,308.4,0.3158726115192825,17.7,0,0,1
1,297.3,308.3,0.3158726115004456,38.2,2,0,1
1,297.3,308.3,0.3158726114845914,39.6,5,0,1
1,297.3,308.3,0.3158726115078905,31.1,8,0,1
0,297.3,308.3,0.315872611487815,55.2,11,0,1
0,297.3,308.3,0.3158726114994287,43.9,13,0,1
0,297.3,308.4,0.315872611495854,45.7,15,0,1
1,297.3,308.4,0.315872611508197,28.9,17,0,1
0,297.4,308.5,0.3158726115004456,44.9,20,0,1
1,297.5,308.5,0.3158726115001515,42.2,22,0,1
1,297.6,308.6,0.3158726115052911,36.9,25,0,1
0,297.5,308.6,0.3158726114730711,62.3,28,0,1
0,297.5,308.6,0.3158726115053364,37.1,30,0,1
0,297.5,308.5,0.3158726114969714,41.9,32,0,1
1,297.6,308.5,0.3158726114982978,39.7,34,0,1
1,297.6,308.5,0.3158726115138073,23.7,37,0,1
1,297.5,308.5,0.3158726114994287,44.7,40,0,1
0,297.4,308.3,0.3158726114999731,41.2,43,0,1
0,297.3,308.3,0.3158726115006202,36.3,45,0,1
0,297.3,308.3,0.3158726115025006,38.5,47,0,1
0,297.4,308.4,0.3158726114885715,52.2,49,0,1
1,297.4,308.3,0.3158726115023417,34.6,51,0,1
0,297.4,308.5,0.3158726114927398,39.2,54,0,1
2,297.5,308.5,0.3158726114930605,46.6,56,0,1
0,297.4,308.5,0.3158726114935345,61.5,61,1,3
2,297.4,308.5,0.3158726114984903,45.1,63,0,1
0,297.4,308.4,0.3158726115046913,37.2,68,0,1
0,297.5,308.6,0.3158726115123674,26.7,70,0,1
0,297.5,308.6,0.3158726114973773,39.0,72,0,1
1,297.6,308.7,0.3158726114916703,59.9,74,0,1
0,297.5,308.6,0.3158726115032258,44.9,77,0,1
0,297.6,308.7,0.315872611506474,37.9,79,0,1
1,297.6,308.7,0.3158726114950551,41.7,81,0,1
2,297.5,308.6,0.3158726114965584,46.1,84,0,1
1,297.4,308.6,0.315872611507339,31.0,89,0,1
0,297.4,308.7,0.3158726115009649,36.2,92,0,1
0,297.4,308.7,0.3158726114984262,46.6,94,0,1
0,297.4,308.7,0.3158726114957824,57.4,96,0,1
2,297.3,308.7,0.3158726114990581,47.6,98,0,1
0,297.4,308.6,0.3158726114818335,53.6,103,0,1
0,297.3,308.6,0.3158726114995508,42.6,105,0,1
0,297.4,308.6,0.3158726114989332,42.3,107,0,1
2,297.3,308.6,0.3158726114959254,42.0,109,0,1
0,297.4,308.7,0.3158726114937684,40.2,114,0,1
0,297.4,308.7,0.3158726114960675,43.4,116,0,1
0,297.4,308.7,0.3158726115246115,4.2,118,1,3
0,297.3,308.6,0.3158726115010218,35.7,120,0,1
1,297.3,308.6,0.315872611497644,42.9,122,0,1
0,297.2,308.5,0.3158726115031239,41.5,125,0,1
0,297.2,308.5,0.3158726115196755,16.5,127,0,1
0,297.3,308.7,0.3158726115063466,31.6,129,0,1
1,297.3,308.8,0.3158726115048781,32.7,131,0,1
2,297.3,308.8,0.3158726115003285,44.2,134,0,1
2,297.3,308.8,0.3158726114950551,42.4,139,0,1
1,297.4,309.0,0.3158726115002107,41.8,144,0,1
1,297.4,309.0,0.3158726115015269,37.0,147,0,1
0,297.4,309.1,0.3158726114990581,49.8,150,0,1
0,297.4,309.1,0.3158726114920038,41.1,152,0,1
0,297.4,309.0,0.3158726115041191,37.9,154,0,1
2,297.4,309.0,0.3158726114984262,41.4,156,0,1
0,297.4,309.0,0.3158726115134324,22.6,161,0,1
